Age,Category,# of explict categorizations,# Utterances w/ Category name,Percentage of utterances w/ category name
3,Animal,4,3849,0.0010392310
,Furniture,0,156,0.0000000000
,Food,0,2979,0.0000000000
,Clothes,0,1942,0.0000000000
,Toys,0,5515,0.0000000000
,Vehicles,0,157,0.0000000000
4,Animal,4,4961,0.0008062891
,Furniture,0,243,0.0000000000
,Food,0,4017,0.0000000000
,Clothes,0,2497,0.0000000000
,Toys,1,7093,0.0001409841
,Vehicles,0,167,0.0000000000
5,Animal,4,5638,0.0007094714
,Furniture,0,278,0.0000000000
,Food,0,4973,0.0000000000
,Clothes,0,2777,0.0000000000
,Toys,1,8334,0.0001199904
,Vehicles,0,187,0.0000000000
6,Animal,4,6110,0.0006546645
,Furniture,0,284,0.0000000000
,Food,0,5309,0.0000000000
,Clothes,0,2861,0.0000000000
,Toys,1,8637,0.0001157809
,Vehicles,0,191,0.0000000000
