"","animal","clothes","food","furniture","toy"
"alligator",2,0,8,0,0
"ant",1,0,12,0,0
"apple",1,3,194,0,8
"ball",1,0,28,0,646
"balloon",0,3,7,0,17
"banana",1,1,112,0,2
"basement",0,0,0,0,5
"bat",0,0,0,0,8
"bear",4,19,173,0,45
"bed",8,13,21,2,30
"bee",1,1,8,0,2
"belt",0,19,1,0,0
"bench",0,0,2,0,1
"bib",2,27,7,0,1
"bird",7,6,103,0,23
"block",2,1,7,0,218
"book",55,3,36,2,115
"bread",1,1,72,0,3
"bug",0,1,11,0,6
"bunny",0,11,41,0,21
"butter",0,0,39,0,2
"button",1,6,11,0,37
"cake",5,0,105,0,11
"candy",0,0,22,0,2
"cat",5,5,75,1,42
"cereal",0,2,77,0,5
"chair",2,10,74,1,38
"chalk",0,0,1,0,2
"cheese",0,0,166,0,9
"chicken",8,6,146,0,10
"chocolate",0,0,65,0,1
"closet",0,4,1,0,7
"coat",0,20,2,0,9
"coffee",3,0,3,0,1
"cookie",6,0,338,0,31
"corn",6,1,50,0,0
"couch",0,0,2,1,2
"cow",6,5,83,0,21
"cracker",22,0,71,0,0
"crayon",1,1,45,0,34
"crib",0,0,1,0,3
"deer",2,0,0,0,0
"diaper",0,38,2,0,11
"dog",6,10,187,0,60
"doll",8,49,21,5,87
"donkey",1,0,0,0,1
"donut",0,0,3,0,1
"door",2,2,8,0,20
"drawer",1,8,0,1,5
"dress",1,105,7,0,25
"drink",7,3,68,0,11
"dryer",0,13,0,0,0
"duck",2,1,44,0,17
"egg",3,0,125,0,15
"elephant",9,1,34,0,16
"fish",16,2,152,2,40
"frog",2,2,14,0,9
"game",3,1,2,0,471
"garage",6,1,0,3,13
"giraffe",7,0,10,0,3
"glue",0,0,0,0,1
"goose",0,2,0,0,3
"gum",0,0,6,0,1
"hamburger",0,0,29,0,1
"hat",0,306,5,0,11
"hen",0,0,1,0,0
"horse",5,9,113,0,49
"ice",0,1,87,0,5
"jacket",0,26,0,0,4
"jeans",0,2,0,0,0
"jello",0,0,4,0,0
"jelly",0,5,9,0,0
"juice",1,0,37,0,11
"kitchen",0,0,40,0,27
"kitty",1,7,35,0,40
"lamb",0,0,8,0,6
"lion",2,0,13,0,3
"lollipop",0,0,6,0,0
"meat",0,0,42,0,0
"milk",2,1,39,0,8
"monkey",2,2,35,0,24
"moose",2,1,3,0,1
"mouse",3,4,44,0,24
"muffin",0,0,14,0,0
"necklace",1,17,1,0,2
"nuts",2,0,8,0,4
"orange",0,9,54,0,7
"oven",0,1,5,0,1
"owl",1,1,5,0,2
"pajamas",2,33,4,0,4
"pancake",0,0,40,0,1
"pants",0,10,3,0,2
"pasta",0,0,29,0,1
"pen",6,0,2,0,13
"pencil",0,0,1,0,8
"penguin",3,0,6,0,1
"pickle",0,0,17,0,0
"pig",1,8,55,0,32
"pizza",0,0,38,0,3
"pony",1,6,1,0,14
"popsicle",0,0,6,0,0
"porch",0,0,4,0,2
"potato",1,2,18,0,22
"present",1,0,0,0,5
"pretzel",0,0,10,0,0
"pudding",0,0,2,0,0
"pumpkin",2,1,49,0,1
"puppy",1,5,11,0,60
"puzzle",7,0,1,0,55
"raisin",0,0,36,0,1
"refrigerator",0,0,6,0,15
"room",7,4,14,8,118
"rooster",0,0,1,0,2
"salt",0,0,12,0,0
"sandwich",0,1,83,0,1
"sauce",0,0,5,0,0
"scarf",0,11,0,0,1
"sheep",3,1,15,0,8
"shirt",0,89,9,0,10
"shoe",0,100,13,0,16
"shorts",0,23,0,0,1
"shower",0,5,0,0,2
"sink",0,1,0,0,7
"slipper",0,14,1,0,24
"sneaker",0,9,1,0,0
"sock",0,24,5,0,9
"soda",0,0,1,0,2
"sofa",0,0,1,1,0
"soup",2,0,68,0,0
"squirrel",0,0,27,0,8
"story",5,1,7,0,18
"stove",0,0,5,0,1
"strawberry",0,3,45,0,1
"sweater",0,11,1,0,7
"table",1,2,123,2,52
"tiger",0,3,12,0,4
"tights",0,1,0,0,0
"toast",0,0,131,0,3
"tuna",2,0,16,0,0
"turkey",0,6,7,0,0
"turtle",3,3,5,0,7
"tv",0,0,2,0,10
"vanilla",0,0,6,0,0
"water",19,6,47,0,104
"window",1,0,2,0,7
"wolf",1,7,11,0,2
"yogurt",0,1,70,0,1
"zebra",3,0,2,0,0
"zipper",0,0,0,0,1
