"","V5","animal","clothes","food","furniture","toy"
"1","alligator",9.91666666666667,1.58333333333333,5.16666666666667,1.08333333333333,5.08333333333333
"2","ant",2.58333333333333,0,8.08333333333333,1.08333333333333,2.41666666666667
"3","apple",13.5,10.4166666666667,30.25,0,48.8333333333333
"4","ball",50,29.25,38.9166666666667,1.91666666666667,120.75
"5","balloon",5.58333333333333,3.5,7.16666666666667,0.583333333333333,17.6666666666667
"6","banana",9.91666666666667,4.91666666666667,9.25,0,13
"7","bat",0.833333333333333,0.25,0.583333333333333,0,3.33333333333333
"8","bear",41.3333333333333,32.9166666666667,165.333333333333,1.16666666666667,79.4166666666667
"9","bed",37,26.5,36.8333333333333,11,63.5
"10","bee",6.66666666666667,0.833333333333333,4.58333333333333,0,11.5833333333333
"11","belt",1.33333333333333,0,2.16666666666667,0.25,0.833333333333333
"12","bench",0.25,0,2.83333333333333,0,3
"13","bib",6.33333333333333,0,5.75,0,4.08333333333333
"14","bird",36.6666666666667,14.25,46.5833333333333,2.41666666666667,61.5
"15","block",19.8333333333333,11.9166666666667,13.5833333333333,0,67
"16","book",175.333333333333,39,68.4166666666667,5.83333333333333,176.333333333333
"17","bread",7.5,5.33333333333333,12.9166666666667,0,16.3333333333333
"18","bug",5.5,4.41666666666667,2.91666666666667,0.583333333333333,13.75
"19","bunny",11,13.0833333333333,15.9166666666667,0,34.25
"20","butter",7.25,6.08333333333333,24.8333333333333,0,11.1666666666667
"21","button",10.75,16.4166666666667,17.5833333333333,0,33.0833333333333
"22","cake",22,2.41666666666667,20.8333333333333,1.08333333333333,12.3333333333333
"23","candy",7.33333333333333,2.5,5.83333333333333,0.583333333333333,14.8333333333333
"24","cat",38.1666666666667,13.3333333333333,101.083333333333,2.33333333333333,62.5833333333333
"25","cereal",3.33333333333333,1.91666666666667,11.1666666666667,0.25,10.5833333333333
"26","chair",27.0833333333333,20.6666666666667,55.5,6.5,103.333333333333
"27","chalk",0,0,0,0,2.16666666666667
"28","cheese",5.41666666666667,12.4166666666667,30,0,30.6666666666667
"29","chicken",70.3333333333333,14.3333333333333,62,1.16666666666667,46.6666666666667
"30","chocolate",1.33333333333333,7.75,19,1.33333333333333,10.1666666666667
"31","closet",3.25,10.5,1.08333333333333,0,15.5833333333333
"32","coat",3.33333333333333,4.5,4,0.25,10
"33","coffee",14,5,9.83333333333333,0.833333333333333,18.5833333333333
"34","coke",0,0,0,0,0.25
"35","cookie",34.0833333333333,11,36.4166666666667,0,80.1666666666667
"36","corn",14.6666666666667,4.91666666666667,7,0,7.33333333333333
"37","couch",5,2.66666666666667,4.83333333333333,2.33333333333333,8
"38","cow",57.0833333333333,11.9166666666667,31.0833333333333,0.583333333333333,44.8333333333333
"39","cracker",50.5,0,6.41666666666667,0.583333333333333,10.0833333333333
"40","crayon",7.66666666666667,11.6666666666667,10.0833333333333,0.583333333333333,25.75
"41","crib",5.91666666666667,3.83333333333333,7.58333333333333,1.08333333333333,3.75
"42","deer",5.25,0.25,2.16666666666667,0,1.08333333333333
"43","diaper",18.8333333333333,18.3333333333333,9.16666666666667,2.75,11.3333333333333
"44","dog",52.8333333333333,27.8333333333333,208.416666666667,2.75,96.9166666666667
"45","doll",45.8333333333333,79.25,21.5833333333333,10.6666666666667,46.9166666666667
"46","donkey",6.33333333333333,0,2.75,0,4.66666666666667
"47","door",28.6666666666667,21.9166666666667,44.75,2.75,81.0833333333333
"48","drawer",7,18.3333333333333,2.16666666666667,2.08333333333333,6.66666666666667
"49","dress",17.1666666666667,60.3333333333333,13.3333333333333,2.25,25.4166666666667
"50","drink",42.9166666666667,20.25,41.75,1.41666666666667,57.75
"51","dryer",1.33333333333333,27.0833333333333,0,0,0.583333333333333
"52","duck",37.9166666666667,12.8333333333333,43,2.16666666666667,40.9166666666667
"53","egg",28.4166666666667,7.66666666666667,14.9166666666667,1.33333333333333,40.3333333333333
"54","elephant",36.75,4.58333333333333,16.5,2.75,24.3333333333333
"55","fish",67.5,27.8333333333333,79.3333333333333,4.16666666666667,85
"56","food",41.6666666666667,13.5833333333333,0,3.5,33.6666666666667
"57","frog",15.3333333333333,4,7.25,1.08333333333333,13.6666666666667
"58","game",9,2.16666666666667,8.41666666666667,0,22.3333333333333
"59","garage",13.3333333333333,1.66666666666667,2.33333333333333,6.25,12.5
"60","giraffe",20.5,4.08333333333333,5.08333333333333,0.583333333333333,12.5
"61","glue",1.91666666666667,1.66666666666667,1.41666666666667,0,7.83333333333333
"62","goose",2.83333333333333,0.25,3,0,4.83333333333333
"63","gum",1.83333333333333,0,4.75,1.08333333333333,3.58333333333333
"64","hamburger",2.33333333333333,0.25,3,0,3.25
"65","hat",49.0833333333333,19.6666666666667,30.8333333333333,0.25,56.4166666666667
"66","hen",0,1.16666666666667,0.583333333333333,0,1.33333333333333
"67","horse",64.6666666666667,19.5,67.0833333333333,2.16666666666667,77.5
"68","ice",2.16666666666667,5.66666666666667,9.91666666666667,1.08333333333333,13.4166666666667
"69","jacket",5.75,4.83333333333333,2,0,5.58333333333333
"70","jeans",0.25,0,0,0,0.583333333333333
"71","jello",1.33333333333333,0,1.08333333333333,0,0.583333333333333
"72","jelly",0,0.583333333333333,4.66666666666667,0,2.75
"73","juice",26.4166666666667,14.6666666666667,39.75,0.25,73.3333333333333
"74","kitchen",12.6666666666667,10.1666666666667,34.75,1.08333333333333,22.75
"75","kitty",22.25,11.6666666666667,41.8333333333333,0.833333333333333,47.9166666666667
"76","lamb",3.25,3.83333333333333,8.16666666666667,1.08333333333333,6.58333333333333
"77","lion",14.9166666666667,3.08333333333333,7.91666666666667,1.08333333333333,13.4166666666667
"78","lollipop",2.41666666666667,0.25,0.833333333333333,0,0
"79","meat",6.16666666666667,2.75,5.25,0,1.91666666666667
"80","melon",0.5,0,0,0,0.25
"81","milk",16.0833333333333,11.8333333333333,49.0833333333333,0.583333333333333,41.8333333333333
"82","monkey",23.1666666666667,1.66666666666667,20.4166666666667,1.33333333333333,32.9166666666667
"83","moose",6.08333333333333,0.75,0,0,1.08333333333333
"84","mouse",18,7.58333333333333,12.6666666666667,1.66666666666667,28
"85","muffin",1.66666666666667,0,0,0,2.41666666666667
"86","necklace",4,0,0,0.25,2.75
"87","nuts",5.58333333333333,1.08333333333333,2.08333333333333,0,6.08333333333333
"88","orange",15.75,12.5833333333333,22.5833333333333,1.83333333333333,35.1666666666667
"89","oven",1.08333333333333,4.91666666666667,11.0833333333333,0,2.41666666666667
"90","owl",3.5,2.66666666666667,2.08333333333333,1.41666666666667,8
"91","pajamas",5.83333333333333,0.25,1.83333333333333,0,7.5
"92","pancake",3,2.16666666666667,0.25,0,5.41666666666667
"93","pants",1.66666666666667,1.83333333333333,2.33333333333333,0,5
"94","pasta",0,1.08333333333333,2.75,0,1.91666666666667
"95","pen",22.25,0.833333333333333,5.33333333333333,1.08333333333333,20
"96","pencil",0.583333333333333,4.16666666666667,5.16666666666667,0,27.1666666666667
"97","penguin",9.08333333333333,0,2.75,0,4.58333333333333
"98","pickle",1.41666666666667,2.25,0.833333333333333,0,5.66666666666667
"99","pig",40.4166666666667,8,37.4166666666667,1.33333333333333,51.0833333333333
"100","pizza",1.91666666666667,2.75,1.25,0,1.08333333333333
"101","pony",4.83333333333333,1.08333333333333,1,0,4.75
"102","popsicle",4.08333333333333,1.33333333333333,1.66666666666667,0,2.16666666666667
"103","porch",0,0,2.25,0,0
"104","potato",10.9166666666667,2.16666666666667,6.25,0,4.66666666666667
"105","present",11.3333333333333,3,4.16666666666667,0.583333333333333,8.83333333333333
"106","pretzel",1.33333333333333,0,0.833333333333333,0,2.83333333333333
"107","pudding",0.25,0.583333333333333,0,0,1.33333333333333
"108","pumpkin",22.5833333333333,0.833333333333333,13.8333333333333,0.583333333333333,12.6666666666667
"109","puppy",10.5833333333333,2.5,18.25,0.25,14.8333333333333
"110","puzzle",24.1666666666667,5.16666666666667,9.41666666666667,0,19.0833333333333
"111","raisin",4.91666666666667,1.66666666666667,2.66666666666667,0,5.41666666666667
"112","refrigerator",1.91666666666667,1.91666666666667,11.6666666666667,0,3.25
