"","V5","animal","clothes","food","furniture","toy"
"1","alligator",2,0,1,0,0
"2","ant",1,0,3,0,0
"3","apple",1,0,4,0,7
"4","ball",1,0,2,0,11
"5","balloon",0,0,0,0,1
"6","banana",1,0,0,0,0
"7","bear",4,5,58,0,9
"8","bed",8,1,1,2,7
"9","bee",1,0,0,0,2
"10","bench",0,0,1,0,0
"11","bib",2,0,1,0,0
"12","bird",7,0,14,0,3
"13","block",2,1,0,0,7
"14","book",55,1,1,2,26
"15","bread",1,1,1,0,0
"16","bug",0,0,0,0,2
"17","bunny",0,1,3,0,1
"18","butter",0,0,9,0,1
"19","button",1,5,3,0,3
"20","cake",5,0,3,0,0
"21","candy",0,0,0,0,2
"22","cat",5,1,38,1,13
"23","cereal",0,0,3,0,1
"24","chair",2,1,4,1,5
"25","cheese",0,0,3,0,5
"26","chicken",8,0,14,0,2
"27","chocolate",0,0,4,0,0
"28","closet",0,4,0,0,5
"29","coat",0,0,1,0,1
"30","coffee",3,0,2,0,0
"31","cookie",6,0,3,0,13
"32","corn",6,1,0,0,0
"33","couch",0,0,0,1,1
"34","cow",6,1,4,0,3
"35","cracker",22,0,1,0,0
"36","crayon",1,1,2,0,3
"37","deer",2,0,0,0,0
"38","diaper",0,4,1,0,1
"39","dog",6,1,79,0,8
"40","doll",8,35,2,5,9
"41","donkey",1,0,0,0,0
"42","door",2,1,4,0,7
"43","drawer",1,8,0,1,2
"44","dress",1,25,0,0,3
"45","drink",7,3,4,0,0
"46","dryer",0,13,0,0,0
"47","duck",2,0,9,0,2
"48","egg",3,0,1,0,3
"49","elephant",9,0,3,0,6
"50","fish",16,2,18,2,10
"51","food",13,2,0,0,7
"52","frog",2,0,0,0,2
"53","game",3,0,0,0,2
"54","garage",6,0,0,3,4
"55","giraffe",7,0,0,0,1
"56","gum",0,0,2,0,0
"57","hat",0,3,0,0,0
"58","horse",5,5,17,0,3
"59","jacket",0,1,0,0,0
"60","juice",1,0,1,0,0
"61","kitchen",0,0,12,0,5
"62","kitty",1,1,8,0,6
"63","lamb",0,0,3,0,0
"64","lion",2,0,0,0,0
"65","meat",0,0,2,0,0
"66","milk",2,0,9,0,3
"67","monkey",2,0,5,0,10
"68","moose",2,0,0,0,0
"69","mouse",3,1,1,0,7
"70","necklace",1,0,0,0,0
"71","nuts",2,0,1,0,2
"72","orange",0,1,3,0,1
"73","oven",0,0,4,0,0
"74","owl",1,1,1,0,0
"75","pajamas",2,0,0,0,2
"76","pen",6,0,1,0,1
"77","pencil",0,0,0,0,2
"78","penguin",3,0,0,0,0
"79","pig",1,2,7,0,4
"80","pony",1,0,0,0,0
"81","potato",1,0,1,0,0
"82","present",1,0,0,0,2
"83","pumpkin",2,0,2,0,0
"84","puppy",1,0,3,0,1
"85","puzzle",7,0,0,0,2
"86","refrigerator",0,0,4,0,0
"87","room",7,3,1,8,28
"88","rooster",0,0,0,0,2
"89","salt",0,0,3,0,0
"90","sandwich",0,0,1,0,0
"91","sheep",3,0,1,0,0
"92","shirt",0,2,1,0,3
"93","shoe",0,9,1,0,3
"94","shorts",0,0,0,0,1
"95","shower",0,2,0,0,0
"96","sink",0,0,0,0,3
"97","slipper",0,1,0,0,4
"98","sock",0,1,1,0,3
"99","soda",0,0,1,0,2
"100","sofa",0,0,0,1,0
"101","soup",2,0,0,0,0
"102","squirrel",0,0,4,0,0
"103","story",5,1,0,0,7
"104","stove",0,0,4,0,0
"105","table",1,0,15,2,13
"106","tiger",0,0,2,0,0
"107","toast",0,0,1,0,0
"108","toy",10,4,7,0,0
"109","tuna",2,0,2,0,0
"110","turkey",0,0,1,0,0
"111","turtle",3,1,1,0,0
"112","tv",0,0,0,0,1
"113","water",19,2,19,0,13
"114","window",1,0,1,0,1
"115","wolf",1,0,0,0,0
"116","yogurt",0,1,5,0,0
"117","zebra",3,0,0,0,0
